Date,IBOVESPA
2024-04-19 00:00:00-03:00,125124.0
2024-04-22 00:00:00-03:00,125573.0
2024-04-23 00:00:00-03:00,125148.0
2024-04-24 00:00:00-03:00,124741.0
2024-04-25 00:00:00-03:00,124646.0
2024-04-26 00:00:00-03:00,126526.0
2024-04-29 00:00:00-03:00,127352.0
2024-04-30 00:00:00-03:00,125924.0
2024-05-02 00:00:00-03:00,127122.0
2024-05-03 00:00:00-03:00,128509.0
2024-05-06 00:00:00-03:00,128466.0
2024-05-07 00:00:00-03:00,129210.0
2024-05-08 00:00:00-03:00,129481.0
2024-05-09 00:00:00-03:00,128188.0
2024-05-10 00:00:00-03:00,127600.0
2024-05-13 00:00:00-03:00,128155.0
2024-05-14 00:00:00-03:00,128515.0
2024-05-15 00:00:00-03:00,128028.0
2024-05-16 00:00:00-03:00,128284.0
2024-05-17 00:00:00-03:00,128151.0
2024-05-20 00:00:00-03:00,127751.0
2024-05-21 00:00:00-03:00,127412.0
2024-05-22 00:00:00-03:00,125650.0
2024-05-23 00:00:00-03:00,124729.0
2024-05-24 00:00:00-03:00,124306.0
2024-05-27 00:00:00-03:00,124496.0
2024-05-28 00:00:00-03:00,123780.0
2024-05-29 00:00:00-03:00,122707.0
2024-05-31 00:00:00-03:00,122098.0
2024-06-03 00:00:00-03:00,122032.0
2024-06-04 00:00:00-03:00,121802.0
2024-06-05 00:00:00-03:00,121407.0
2024-06-06 00:00:00-03:00,122899.0
2024-06-07 00:00:00-03:00,120767.0
2024-06-10 00:00:00-03:00,120760.0
2024-06-11 00:00:00-03:00,121635.0
2024-06-12 00:00:00-03:00,119936.0
2024-06-13 00:00:00-03:00,119568.0
2024-06-14 00:00:00-03:00,119662.0
2024-06-17 00:00:00-03:00,119138.0
2024-06-18 00:00:00-03:00,119630.0
2024-06-19 00:00:00-03:00,120261.0
2024-06-20 00:00:00-03:00,120446.0
2024-06-21 00:00:00-03:00,121341.0
2024-06-24 00:00:00-03:00,122637.0
2024-06-25 00:00:00-03:00,122331.0
2024-06-26 00:00:00-03:00,122641.0
2024-06-27 00:00:00-03:00,124308.0
2024-06-28 00:00:00-03:00,123907.0
2024-07-01 00:00:00-03:00,124718.0
2024-07-02 00:00:00-03:00,124787.0
2024-07-03 00:00:00-03:00,125662.0
2024-07-04 00:00:00-03:00,126164.0
2024-07-05 00:00:00-03:00,126267.0
2024-07-08 00:00:00-03:00,126548.0
2024-07-09 00:00:00-03:00,127108.0
2024-07-10 00:00:00-03:00,127218.0
2024-07-11 00:00:00-03:00,128294.0
2024-07-12 00:00:00-03:00,128897.0
2024-07-15 00:00:00-03:00,129321.0
2024-07-16 00:00:00-03:00,129110.0
2024-07-17 00:00:00-03:00,129450.0
2024-07-18 00:00:00-03:00,127652.0
2024-07-19 00:00:00-03:00,127616.0
2024-07-22 00:00:00-03:00,127860.0
2024-07-23 00:00:00-03:00,126590.0
2024-07-24 00:00:00-03:00,126423.0
2024-07-25 00:00:00-03:00,125954.0
2024-07-26 00:00:00-03:00,127492.0
2024-07-29 00:00:00-03:00,126954.0
2024-07-30 00:00:00-03:00,126139.0
2024-07-31 00:00:00-03:00,127652.0
2024-08-01 00:00:00-03:00,127395.0
2024-08-02 00:00:00-03:00,125854.0
2024-08-05 00:00:00-03:00,125270.0
2024-08-06 00:00:00-03:00,126267.0
2024-08-07 00:00:00-03:00,127514.0
2024-08-08 00:00:00-03:00,128661.0
2024-08-09 00:00:00-03:00,130615.0
2024-08-12 00:00:00-03:00,131116.0
2024-08-13 00:00:00-03:00,132398.0
2024-08-14 00:00:00-03:00,133318.0
2024-08-15 00:00:00-03:00,134153.0
2024-08-16 00:00:00-03:00,133953.0
2024-08-19 00:00:00-03:00,135778.0
2024-08-20 00:00:00-03:00,136087.0
2024-08-21 00:00:00-03:00,136464.0
2024-08-22 00:00:00-03:00,135173.0
2024-08-23 00:00:00-03:00,135608.0
2024-08-26 00:00:00-03:00,136889.0
2024-08-27 00:00:00-03:00,136776.0
2024-08-28 00:00:00-03:00,137344.0
2024-08-29 00:00:00-03:00,136041.0
2024-08-30 00:00:00-03:00,136004.0
2024-09-02 00:00:00-03:00,134981.0
2024-09-03 00:00:00-03:00,134353.0
2024-09-04 00:00:00-03:00,136111.0
2024-09-05 00:00:00-03:00,136502.0
2024-09-06 00:00:00-03:00,134572.0
2024-09-09 00:00:00-03:00,134737.0
2024-09-10 00:00:00-03:00,134320.0
2024-09-11 00:00:00-03:00,134677.0
2024-09-12 00:00:00-03:00,134029.0
2024-09-13 00:00:00-03:00,134882.0
2024-09-16 00:00:00-03:00,135118.0
2024-09-17 00:00:00-03:00,134960.0
2024-09-18 00:00:00-03:00,133748.0
2024-09-19 00:00:00-03:00,133123.0
2024-09-20 00:00:00-03:00,131065.0
2024-09-23 00:00:00-03:00,130568.0
2024-09-24 00:00:00-03:00,132156.0
2024-09-25 00:00:00-03:00,131586.0
2024-09-26 00:00:00-03:00,133010.0
2024-09-27 00:00:00-03:00,132730.0
2024-09-30 00:00:00-03:00,131816.0
2024-10-01 00:00:00-03:00,132495.0
2024-10-02 00:00:00-03:00,133515.0
2024-10-03 00:00:00-03:00,131672.0
2024-10-04 00:00:00-03:00,131792.0
2024-10-07 00:00:00-03:00,132018.0
2024-10-08 00:00:00-03:00,131512.0
2024-10-09 00:00:00-03:00,129962.0
2024-10-10 00:00:00-03:00,130353.0
2024-10-11 00:00:00-03:00,129992.0
2024-10-14 00:00:00-03:00,131005.0
2024-10-15 00:00:00-03:00,131043.0
2024-10-16 00:00:00-03:00,131750.0
2024-10-17 00:00:00-03:00,130793.0
2024-10-18 00:00:00-03:00,130499.0
2024-10-21 00:00:00-03:00,130362.0
2024-10-22 00:00:00-03:00,129721.0
2024-10-23 00:00:00-03:00,129233.0
2024-10-24 00:00:00-03:00,130067.0
2024-10-25 00:00:00-03:00,129893.0
2024-10-28 00:00:00-03:00,131213.0
2024-10-29 00:00:00-03:00,130730.0
2024-10-30 00:00:00-03:00,130639.0
2024-10-31 00:00:00-03:00,129713.0
2024-11-01 00:00:00-03:00,128121.0
2024-11-04 00:00:00-03:00,130515.0
2024-11-05 00:00:00-03:00,130661.0
2024-11-06 00:00:00-03:00,130341.0
2024-11-07 00:00:00-03:00,129682.0
2024-11-08 00:00:00-03:00,127830.0
2024-11-11 00:00:00-03:00,127874.0
2024-11-12 00:00:00-03:00,127698.0
2024-11-13 00:00:00-03:00,127734.0
2024-11-14 00:00:00-03:00,127792.0
2024-11-18 00:00:00-03:00,127768.0
2024-11-19 00:00:00-03:00,128197.0
2024-11-21 00:00:00-03:00,126922.0
2024-11-22 00:00:00-03:00,129126.0
2024-11-25 00:00:00-03:00,129036.0
2024-11-26 00:00:00-03:00,129922.0
2024-11-27 00:00:00-03:00,127669.0
2024-11-28 00:00:00-03:00,124610.0
2024-11-29 00:00:00-03:00,125668.0
2024-12-02 00:00:00-03:00,125236.0
2024-12-03 00:00:00-03:00,126139.0
2024-12-04 00:00:00-03:00,126087.0
2024-12-05 00:00:00-03:00,127858.0
2024-12-06 00:00:00-03:00,125946.0
2024-12-09 00:00:00-03:00,127210.0
2024-12-10 00:00:00-03:00,128228.0
2024-12-11 00:00:00-03:00,129593.0
2024-12-12 00:00:00-03:00,126042.0
2024-12-13 00:00:00-03:00,124612.0
2024-12-16 00:00:00-03:00,123560.0
2024-12-17 00:00:00-03:00,124698.0
2024-12-18 00:00:00-03:00,120772.0
2024-12-19 00:00:00-03:00,121188.0
2024-12-20 00:00:00-03:00,122102.0
2024-12-23 00:00:00-03:00,120767.0
2024-12-26 00:00:00-03:00,121078.0
2024-12-27 00:00:00-03:00,120269.0
2024-12-30 00:00:00-03:00,120283.0
2025-01-02 00:00:00-03:00,120125.0
2025-01-03 00:00:00-03:00,118533.0
2025-01-06 00:00:00-03:00,120022.0
2025-01-07 00:00:00-03:00,121163.0
2025-01-08 00:00:00-03:00,119625.0
2025-01-09 00:00:00-03:00,119781.0
2025-01-10 00:00:00-03:00,118856.0
2025-01-13 00:00:00-03:00,119007.0
2025-01-14 00:00:00-03:00,119299.0
2025-01-15 00:00:00-03:00,122650.0
2025-01-16 00:00:00-03:00,121234.0
2025-01-17 00:00:00-03:00,122350.0
2025-01-20 00:00:00-03:00,122543.0
2025-01-21 00:00:00-03:00,123338.0
2025-01-22 00:00:00-03:00,122972.0
2025-01-23 00:00:00-03:00,122483.0
2025-01-24 00:00:00-03:00,122447.0
2025-01-27 00:00:00-03:00,124862.0
2025-01-28 00:00:00-03:00,124056.0
2025-01-29 00:00:00-03:00,123432.0
2025-01-30 00:00:00-03:00,126913.0
2025-01-31 00:00:00-03:00,126135.0
2025-02-03 00:00:00-03:00,125970.0
2025-02-04 00:00:00-03:00,125147.0
2025-02-05 00:00:00-03:00,125534.0
2025-02-06 00:00:00-03:00,126225.0
2025-02-07 00:00:00-03:00,124619.0
2025-02-10 00:00:00-03:00,125572.0
2025-02-11 00:00:00-03:00,126522.0
2025-02-12 00:00:00-03:00,124380.0
2025-02-13 00:00:00-03:00,124850.0
2025-02-14 00:00:00-03:00,128219.0
2025-02-17 00:00:00-03:00,128869.0
2025-02-18 00:00:00-03:00,128532.0
2025-02-19 00:00:00-03:00,127309.0
2025-02-20 00:00:00-03:00,127601.0
2025-02-21 00:00:00-03:00,127128.0
2025-02-24 00:00:00-03:00,125401.0
2025-02-25 00:00:00-03:00,125980.0
2025-02-26 00:00:00-03:00,124769.0
2025-02-27 00:00:00-03:00,124799.0
2025-02-28 00:00:00-03:00,122799.0
2025-03-05 00:00:00-03:00,123047.0
2025-03-06 00:00:00-03:00,123358.0
2025-03-07 00:00:00-03:00,125035.0
2025-03-10 00:00:00-03:00,124519.0
2025-03-11 00:00:00-03:00,123507.0
2025-03-12 00:00:00-03:00,123864.0
2025-03-13 00:00:00-03:00,125637.0
2025-03-14 00:00:00-03:00,128957.0
2025-03-17 00:00:00-03:00,130834.0
2025-03-18 00:00:00-03:00,131475.0
2025-03-19 00:00:00-03:00,132508.0
2025-03-20 00:00:00-03:00,131955.0
2025-03-21 00:00:00-03:00,132345.0
2025-03-24 00:00:00-03:00,131321.0
2025-03-25 00:00:00-03:00,132068.0
2025-03-26 00:00:00-03:00,132520.0
2025-03-27 00:00:00-03:00,133149.0
2025-03-28 00:00:00-03:00,131902.0
2025-03-31 00:00:00-03:00,130260.0
2025-04-01 00:00:00-03:00,131147.0
2025-04-02 00:00:00-03:00,131190.0
2025-04-03 00:00:00-03:00,131141.0
2025-04-04 00:00:00-03:00,127256.0
2025-04-07 00:00:00-03:00,125588.0
2025-04-08 00:00:00-03:00,123932.0
2025-04-09 00:00:00-03:00,127796.0
2025-04-10 00:00:00-03:00,126355.0
2025-04-11 00:00:00-03:00,127682.0
2025-04-14 00:00:00-03:00,129454.0
2025-04-15 00:00:00-03:00,129245.0
2025-04-16 00:00:00-03:00,128317.0
2025-04-17 00:00:00-03:00,129650.0
2025-04-22 00:00:00-03:00,130464.0
2025-04-23 00:00:00-03:00,132216.0
2025-04-24 00:00:00-03:00,134580.0
2025-04-25 00:00:00-03:00,134739.0
2025-04-28 00:00:00-03:00,135016.0
2025-04-29 00:00:00-03:00,135093.0
2025-04-30 00:00:00-03:00,135067.0
2025-05-02 00:00:00-03:00,135134.0
2025-05-05 00:00:00-03:00,133491.0
2025-05-06 00:00:00-03:00,133516.0
2025-05-07 00:00:00-03:00,133398.0
2025-05-08 00:00:00-03:00,136232.0
2025-05-09 00:00:00-03:00,136512.0
2025-05-12 00:00:00-03:00,136563.0
2025-05-13 00:00:00-03:00,138963.0
2025-05-14 00:00:00-03:00,138423.0
2025-05-15 00:00:00-03:00,139334.0
2025-05-16 00:00:00-03:00,139187.0
2025-05-19 00:00:00-03:00,139636.0
2025-05-20 00:00:00-03:00,140110.0
2025-05-21 00:00:00-03:00,137881.0
2025-05-22 00:00:00-03:00,137273.0
2025-05-23 00:00:00-03:00,137824.0
2025-05-26 00:00:00-03:00,138136.0
2025-05-27 00:00:00-03:00,139541.0
2025-05-28 00:00:00-03:00,138888.0
2025-05-29 00:00:00-03:00,138534.0
2025-05-30 00:00:00-03:00,137027.0
2025-06-02 00:00:00-03:00,136787.0
2025-06-03 00:00:00-03:00,137546.0
2025-06-04 00:00:00-03:00,137002.0
2025-06-05 00:00:00-03:00,136236.0
2025-06-06 00:00:00-03:00,136102.0
2025-06-09 00:00:00-03:00,135699.0
2025-06-10 00:00:00-03:00,136436.0
2025-06-11 00:00:00-03:00,137128.0
2025-06-12 00:00:00-03:00,137800.0
2025-06-13 00:00:00-03:00,137213.0
2025-06-16 00:00:00-03:00,139256.0
2025-06-17 00:00:00-03:00,138840.0
2025-06-18 00:00:00-03:00,138717.0
2025-06-20 00:00:00-03:00,137116.0
2025-06-23 00:00:00-03:00,136551.0
2025-06-24 00:00:00-03:00,137165.0
2025-06-25 00:00:00-03:00,135767.0
2025-06-26 00:00:00-03:00,137114.0
2025-06-27 00:00:00-03:00,136866.0
2025-06-30 00:00:00-03:00,138855.0
2025-07-01 00:00:00-03:00,139549.0
2025-07-02 00:00:00-03:00,139051.0
2025-07-03 00:00:00-03:00,140928.0
2025-07-04 00:00:00-03:00,141478.0
2025-07-07 00:00:00-03:00,139490.0
2025-07-08 00:00:00-03:00,139303.0
2025-07-09 00:00:00-03:00,137481.0
2025-07-10 00:00:00-03:00,136743.0
2025-07-11 00:00:00-03:00,136187.0
2025-07-14 00:00:00-03:00,135299.0
2025-07-15 00:00:00-03:00,135250.0
2025-07-16 00:00:00-03:00,135511.0
2025-07-17 00:00:00-03:00,135565.0
2025-07-18 00:00:00-03:00,133382.0
2025-07-21 00:00:00-03:00,134167.0
2025-07-22 00:00:00-03:00,134036.0
2025-07-23 00:00:00-03:00,135368.0
2025-07-24 00:00:00-03:00,133808.0
2025-07-25 00:00:00-03:00,133524.0
2025-07-28 00:00:00-03:00,132129.0
2025-07-29 00:00:00-03:00,132726.0
2025-07-30 00:00:00-03:00,133990.0
2025-07-31 00:00:00-03:00,133071.046875
